n,l,j,F_initial,mF_initial,F_final,mF_final,q,Wavelength (nm),TDM (a.u.)
6,1,0.5,3,-3,3,-3,0,894.5929991351851,1.377929836180892
6,1,0.5,3,-3,3,-2,1,894.5929991351851,-0.7955481618434548
6,1,0.5,3,-2,3,-3,-1,894.5929991351851,0.7955481618434548
6,1,0.5,3,-2,3,-2,0,894.5929991351851,0.9186198907872611
6,1,0.5,3,-2,3,-1,1,894.5929991351851,-1.0270482606418743
6,1,0.5,3,-1,3,-2,-1,894.5929991351851,1.0270482606418745
6,1,0.5,3,-1,3,-1,0,894.5929991351851,0.45930994539363057
6,1,0.5,3,-1,3,0,1,894.5929991351851,-1.1250749999999996
6,1,0.5,3,0,3,-1,-1,894.5929991351851,1.1250749999999996
6,1,0.5,3,0,3,0,0,894.5929991351851,0.0
6,1,0.5,3,0,3,1,1,894.5929991351851,-1.1250749999999996
6,1,0.5,3,1,3,0,-1,894.5929991351851,1.1250749999999996
6,1,0.5,3,1,3,1,0,894.5929991351851,-0.45930994539363057
6,1,0.5,3,1,3,2,1,894.5929991351851,-1.0270482606418745
6,1,0.5,3,2,3,1,-1,894.5929991351851,1.0270482606418743
6,1,0.5,3,2,3,2,0,894.5929991351851,-0.9186198907872611
6,1,0.5,3,2,3,3,1,894.5929991351851,-0.7955481618434548
6,1,0.5,3,3,3,2,-1,894.5929991351851,0.7955481618434548
6,1,0.5,3,3,3,3,0,894.5929991351851,-1.377929836180892
6,1,0.5,3,-3,4,-4,-1,894.5929991351851,-2.4304397804204076
6,1,0.5,3,-3,4,-3,0,894.5929991351851,1.2152198902102038
6,1,0.5,3,-3,4,-2,1,894.5929991351851,-0.4593099453936307
6,1,0.5,3,-2,4,-3,-1,894.5929991351851,-2.1048225922123462
6,1,0.5,3,-2,4,-2,0,894.5929991351851,1.5910963236869096
6,1,0.5,3,-2,4,-1,1,894.5929991351851,-0.7955481618434548
6,1,0.5,3,-1,4,-2,-1,894.5929991351851,-1.7788997692569697
6,1,0.5,3,-1,4,-1,0,894.5929991351851,1.7788997692569697
6,1,0.5,3,-1,4,0,1,894.5929991351851,-1.1250749999999996
6,1,0.5,3,0,4,-1,-1,894.5929991351851,-1.4524655794114363
6,1,0.5,3,0,4,0,0,894.5929991351851,1.8372397815745227
6,1,0.5,3,0,4,1,1,894.5929991351851,-1.4524655794114363
6,1,0.5,3,1,4,0,-1,894.5929991351851,-1.1250749999999996
6,1,0.5,3,1,4,1,0,894.5929991351851,1.778899769256969
6,1,0.5,3,1,4,2,1,894.5929991351851,-1.7788997692569697
6,1,0.5,3,2,4,1,-1,894.5929991351851,-0.7955481618434548
6,1,0.5,3,2,4,2,0,894.5929991351851,1.5910963236869096
6,1,0.5,3,2,4,3,1,894.5929991351851,-2.1048225922123462
6,1,0.5,3,3,4,2,-1,894.5929991351851,-0.4593099453936307
6,1,0.5,3,3,4,3,0,894.5929991351851,1.2152198902102038
6,1,0.5,3,3,4,4,1,894.5929991351851,-2.4304397804204076
6,1,0.5,4,-4,3,-3,1,894.5929991351851,2.430439780420408
6,1,0.5,4,-3,3,-3,0,894.5929991351851,1.215219890210204
6,1,0.5,4,-3,3,-2,1,894.5929991351851,2.1048225922123462
