n,l,j,mj_initial,mj_final,q,Wavelength (nm),TDM (a0 e)
6,1,0.5,-0.5,-0.5,0,894.5929991351851,-1.8372397815745227
6,1,0.5,-0.5,0.5,1,894.5929991351851,2.5982494164340726
6,1,0.5,0.5,-0.5,-1,894.5929991351851,-2.5982494164340726
6,1,0.5,0.5,0.5,0,894.5929991351851,1.8372397815745227
6,1,1.5,-0.5,-1.5,-1,852.3473131520855,3.16685
6,1,1.5,-0.5,-0.5,0,852.3473131520855,-2.5857221973109694
6,1,1.5,-0.5,0.5,1,852.3473131520855,1.8283816999831664
6,1,1.5,0.5,-0.5,-1,852.3473131520855,1.8283816999831664
6,1,1.5,0.5,0.5,0,852.3473131520855,-2.5857221973109694
6,1,1.5,0.5,1.5,1,852.3473131520855,3.16685
7,1,0.5,-0.5,-0.5,0,459.44592591357457,-0.11255405368088703
7,1,0.5,-0.5,0.5,1,459.44592591357457,0.15917546921557982
7,1,0.5,0.5,-0.5,-1,459.44592591357457,-0.15917546921557982
7,1,0.5,0.5,0.5,0,459.44592591357457,0.11255405368088703
7,1,1.5,-0.5,-1.5,-1,455.6556830948913,0.2928
7,1,1.5,-0.5,-0.5,0,455.6556830948913,-0.2390701988956382
7,1,1.5,-0.5,0.5,1,455.6556830948913,0.16904815881872243
7,1,1.5,0.5,-0.5,-1,455.6556830948913,0.16904815881872243
7,1,1.5,0.5,0.5,0,455.6556830948913,-0.2390701988956382
7,1,1.5,0.5,1.5,1,455.6556830948913,0.2928
